"","AAPL","BAC","BLK","CME","CMG","CRM","DXC","EA","FB","GD","GOOG","GOOGL","GS","HPE","IBM","INTC","JPM","KO","MCD","MSFT","NDAQ","NFLX","NOC","NVDA","QCOM"
"AAPL",1,0.541263774169836,0.607363803829515,0.499469102475025,0.491599623267722,0.483016285840429,0.437293590415929,0.534379952538509,0.698197588878557,0.511934093093201,0.784125393624506,0.786754113941572,0.566177103521498,0.467707832940205,0.58241347668406,0.562857357130357,0.533298173026577,0.534068695076718,0.603755247186908,0.800117100486704,0.60522189949688,0.41345454629421,0.489957118303971,0.705844958757645,0.615453033949518
"BAC",0.541263774169836,1,0.717719201960051,0.6688729629656,0.521067179427774,0.463109010205819,0.705049952073254,0.470738783066266,0.535963310689946,0.738943881183204,0.56448572278175,0.569319455989639,0.827865913249642,0.681532893205858,0.695546897732857,0.579880202728552,0.927648739947215,0.66959129490196,0.665760785040377,0.618499643943003,0.662625216215722,0.428936921812078,0.590639386438164,0.605223218935595,0.505347831608214
"BLK",0.607363803829515,0.717719201960051,1,0.687603457649984,0.593995114909681,0.48284122666244,0.646174524365543,0.580422849519996,0.518455469602415,0.66579854270075,0.65220539438914,0.660657446938927,0.702653786871169,0.642058549656031,0.725272700387525,0.61809913893155,0.686112897398641,0.728063590388205,0.751747689880065,0.677104542740561,0.788662682933162,0.418311337390272,0.673805781434636,0.660203637212431,0.570655552701204
"CME",0.499469102475025,0.6688729629656,0.687603457649984,1,0.572770314821558,0.454018465386485,0.61445489867793,0.603019911802011,0.497987645257316,0.741049631505852,0.527291288001144,0.549750485801596,0.693774838605859,0.625751469343688,0.605629142835273,0.591012606606434,0.703556940974593,0.671839087346968,0.756476890872475,0.619841421966792,0.75496155245775,0.459521382893772,0.651668277783473,0.648262192308843,0.590259247244706
"CMG",0.491599623267722,0.521067179427774,0.593995114909681,0.572770314821558,1,0.447139374080434,0.563547565452884,0.354689494322335,0.463338606627294,0.505871199980221,0.54806322980391,0.55979792110028,0.588871796389665,0.446311336895261,0.549917239339623,0.481553360891602,0.543978635627123,0.573891837707906,0.721682538285842,0.540459641532036,0.561767973190592,0.32101788558078,0.522617555391149,0.620696331441058,0.507356672610854
"CRM",0.483016285840429,0.463109010205819,0.48284122666244,0.454018465386485,0.447139374080434,1,0.469684202620069,0.384553710484836,0.61008862331983,0.409044746033378,0.605028014262371,0.608260003930704,0.448192011461803,0.442160228150208,0.446843890154633,0.433936461979725,0.464901052097628,0.413143417830547,0.534724964527858,0.622559378747717,0.495086239141061,0.493624046353303,0.43589306216892,0.536526704381745,0.390865309423232
"DXC",0.437293590415929,0.705049952073254,0.646174524365543,0.61445489867793,0.563547565452884,0.469684202620069,1,0.376465445592978,0.479416213739936,0.608672539516252,0.493781176058036,0.503278350276671,0.697232015997466,0.652837682632606,0.657825598015547,0.494454197370192,0.66650518457188,0.605743252545667,0.750250618559874,0.512170019510292,0.608881931691342,0.30498488555336,0.567950010336533,0.596959662680975,0.469771009538266
"EA",0.534379952538509,0.470738783066266,0.580422849519996,0.603019911802011,0.354689494322335,0.384553710484836,0.376465445592978,1,0.385772720353486,0.564575023707252,0.504605651438937,0.512360563257974,0.43011285011525,0.432181522844037,0.454558700921421,0.498327840001475,0.506584163122123,0.508352853047697,0.475456810479936,0.57895159007078,0.603174274480312,0.481841830499478,0.55173948365055,0.511958070892746,0.508079943237528
"FB",0.698197588878557,0.535963310689946,0.518455469602415,0.497987645257316,0.463338606627294,0.61008862331983,0.479416213739936,0.385772720353486,1,0.420770576834133,0.789906751074593,0.789785961337485,0.566259522189124,0.472545188077874,0.548686402626012,0.541351597988738,0.528657461203535,0.481715665705923,0.576118830406356,0.706971309523608,0.532234381544988,0.503138019208704,0.446741818470428,0.59108295956456,0.475486693801561
"GD",0.511934093093201,0.738943881183204,0.66579854270075,0.741049631505852,0.505871199980221,0.409044746033378,0.608672539516252,0.564575023707252,0.420770576834133,1,0.495487789025879,0.500164417661261,0.721642472733184,0.681843527120791,0.681556533763053,0.52063992296721,0.745061841087824,0.74125562626161,0.674970596469779,0.542648268385987,0.679935515751936,0.389675555139374,0.652278309909079,0.563306775450933,0.490478900748726
"GOOG",0.784125393624506,0.56448572278175,0.65220539438914,0.527291288001144,0.54806322980391,0.605028014262371,0.493781176058036,0.504605651438937,0.789906751074593,0.495487789025879,1,0.996094718726581,0.612284295062292,0.521285979118417,0.63594319843323,0.627203239289253,0.560890233847354,0.566602207742157,0.636454980030863,0.822794570740257,0.609702213013615,0.455858894327055,0.556034854001112,0.684859974292499,0.571158355289937
"GOOGL",0.786754113941572,0.569319455989639,0.660657446938927,0.549750485801596,0.55979792110028,0.608260003930704,0.503278350276671,0.512360563257974,0.789785961337485,0.500164417661261,0.996094718726581,1,0.615084681930611,0.524911426337206,0.64046758678341,0.639862254039984,0.567146736934752,0.5686974201929,0.64351014431016,0.828906215441662,0.618456062818445,0.447746899529582,0.5683035396353,0.697850434919936,0.590977991630287
"GS",0.566177103521498,0.827865913249642,0.702653786871169,0.693774838605859,0.588871796389665,0.448192011461803,0.697232015997466,0.43011285011525,0.566259522189124,0.721642472733184,0.612284295062292,0.615084681930611,1,0.629203100804445,0.708774693224031,0.578296560767128,0.838169456885719,0.710117187824961,0.715784872955084,0.632649581335321,0.664204538864901,0.367754285998995,0.591298174014831,0.62878758567533,0.572529842879365
"HPE",0.467707832940205,0.681532893205858,0.642058549656031,0.625751469343688,0.446311336895261,0.442160228150208,0.652837682632606,0.432181522844037,0.472545188077874,0.681843527120791,0.521285979118417,0.524911426337206,0.629203100804445,1,0.685945267776437,0.518009786599601,0.644079454288079,0.575721495718213,0.664429130726511,0.499756038719558,0.587412924934111,0.343421243739411,0.573168467688069,0.508855159434892,0.500658612765661
"IBM",0.58241347668406,0.695546897732857,0.725272700387525,0.605629142835273,0.549917239339623,0.446843890154633,0.657825598015547,0.454558700921421,0.548686402626012,0.681556533763053,0.63594319843323,0.64046758678341,0.708774693224031,0.685945267776437,1,0.595929397842499,0.666908622656664,0.714217043999134,0.694462506869742,0.639881815881267,0.670088088894678,0.353446300935824,0.64592487500182,0.620664971366259,0.545877830822816
"INTC",0.562857357130357,0.579880202728552,0.61809913893155,0.591012606606434,0.481553360891602,0.433936461979725,0.494454197370192,0.498327840001475,0.541351597988738,0.52063992296721,0.627203239289253,0.639862254039984,0.578296560767128,0.518009786599601,0.595929397842499,1,0.604722558450217,0.506479211721513,0.612985600016855,0.699916692635524,0.604944640150287,0.404545932221362,0.58964121786399,0.601068610437272,0.588093586909324
"JPM",0.533298173026577,0.927648739947215,0.686112897398641,0.703556940974593,0.543978635627123,0.464901052097628,0.66650518457188,0.506584163122123,0.528657461203535,0.745061841087824,0.560890233847354,0.567146736934752,0.838169456885719,0.644079454288079,0.666908622656664,0.604722558450217,1,0.676299752478575,0.685049381172257,0.630118912380569,0.635924513145968,0.444862492338776,0.592031044416189,0.622048057678691,0.554759089024572
"KO",0.534068695076718,0.66959129490196,0.728063590388205,0.671839087346968,0.573891837707906,0.413143417830547,0.605743252545667,0.508352853047697,0.481715665705923,0.74125562626161,0.566602207742157,0.5686974201929,0.710117187824961,0.575721495718213,0.714217043999134,0.506479211721513,0.676299752478575,1,0.665356815291085,0.594415054749653,0.722316806073655,0.39561130053364,0.635500515036193,0.581732219698447,0.51974321170124
"MCD",0.603755247186908,0.665760785040377,0.751747689880065,0.756476890872475,0.721682538285842,0.534724964527858,0.750250618559874,0.475456810479936,0.576118830406356,0.674970596469779,0.636454980030863,0.64351014431016,0.715784872955084,0.664429130726511,0.694462506869742,0.612985600016855,0.685049381172257,0.665356815291085,1,0.664221079175179,0.738038160195898,0.394481153259359,0.616234425484892,0.708473653284091,0.56394276226218
"MSFT",0.800117100486704,0.618499643943003,0.677104542740561,0.619841421966792,0.540459641532036,0.622559378747717,0.512170019510292,0.57895159007078,0.706971309523608,0.542648268385987,0.822794570740257,0.828906215441662,0.632649581335321,0.499756038719558,0.639881815881267,0.699916692635524,0.630118912380569,0.594415054749653,0.664221079175179,1,0.69393994714752,0.471411223758098,0.602296278308978,0.798733910717101,0.663879911362962
"NDAQ",0.60522189949688,0.662625216215722,0.788662682933162,0.75496155245775,0.561767973190592,0.495086239141061,0.608881931691342,0.603174274480312,0.532234381544988,0.679935515751936,0.609702213013615,0.618456062818445,0.664204538864901,0.587412924934111,0.670088088894678,0.604944640150287,0.635924513145968,0.722316806073655,0.738038160195898,0.69393994714752,1,0.430840409472505,0.647685002859057,0.667727474184746,0.541485825791994
"NFLX",0.41345454629421,0.428936921812078,0.418311337390272,0.459521382893772,0.32101788558078,0.493624046353303,0.30498488555336,0.481841830499478,0.503138019208704,0.389675555139374,0.455858894327055,0.447746899529582,0.367754285998995,0.343421243739411,0.353446300935824,0.404545932221362,0.444862492338776,0.39561130053364,0.394481153259359,0.471411223758098,0.430840409472505,1,0.404156630383255,0.416254023796368,0.333195926792948
"NOC",0.489957118303971,0.590639386438164,0.673805781434636,0.651668277783473,0.522617555391149,0.43589306216892,0.567950010336533,0.55173948365055,0.446741818470428,0.652278309909079,0.556034854001112,0.5683035396353,0.591298174014831,0.573168467688069,0.64592487500182,0.58964121786399,0.592031044416189,0.635500515036193,0.616234425484892,0.602296278308978,0.647685002859057,0.404156630383255,1,0.560432165847441,0.600235212892103
"NVDA",0.705844958757645,0.605223218935595,0.660203637212431,0.648262192308843,0.620696331441058,0.536526704381745,0.596959662680975,0.511958070892746,0.59108295956456,0.563306775450933,0.684859974292499,0.697850434919936,0.62878758567533,0.508855159434892,0.620664971366259,0.601068610437272,0.622048057678691,0.581732219698447,0.708473653284091,0.798733910717101,0.667727474184746,0.416254023796368,0.560432165847441,1,0.618502643014146
"QCOM",0.615453033949518,0.505347831608214,0.570655552701204,0.590259247244706,0.507356672610854,0.390865309423232,0.469771009538266,0.508079943237528,0.475486693801561,0.490478900748726,0.571158355289937,0.590977991630287,0.572529842879365,0.500658612765661,0.545877830822816,0.588093586909324,0.554759089024572,0.51974321170124,0.56394276226218,0.663879911362962,0.541485825791994,0.333195926792948,0.600235212892103,0.618502643014146,1
